rank,term,doc_freq,raw_freq,adj_freq,methods,nonambiguous,informative,type,topic,role,notes,example
897,proposition,26,62,39,spacy,0,non-informative,,,,,""" Shri B. Sen, who appeared for the ONGC, made R clear at the outset that he was not disputing the propositions (a) that the ONGC is 'State' within the meaning of Article 12 of the Constitution; and (b) that it has a duty to act reasonably "
898,order of the high,23,39,39,yake,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,
899,reasoning,22,43,39,spacy,0,non-informative,,,,,"On behalf of the accused, Harjit Singh (A-1), the learned counsel severally criticized the reasoning of the High Court in rejecting his plea of self-defence."
900,objective,17,52,39,spacy,0,non-informative,,,,,The English courts have also used inherent power to achieve the same objective.
901,judgment and decree,17,39,39,spacy,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,"Eventually, the learned Judge of the High Court sitting as a Trial Judge, passed a judgment and decree on 28.06.1963, both in the suit and in the application under Order XXIII"
902,quality,16,60,39,spacy,0,non-informative,,,,,Is it introduced merely with a view to quality or create exceptions to what is contained in the main provision of s. 50) or does it g;- beyond that purpose and enact a substantive law of its own by way of providing for special savings follo
903,refund,12,41,39,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"During the course of arguments, the respondents agreed to grant a refund on those goods belonging to the appellant company which were actually sent outside octroi limits."
904,salary,12,40,39,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"According to Holdsworth(1) the Judges, from the first, were paid salaries by the Crown which in the course of years were increased."
905,floor,11,45,39,spacy,0,non-informative,,,,,"The premises m suit, namely, the second floor of the building in occupation of the tenant is required by the plaintiff for occupation of the members of the joint family and for their benefit."
906,discrimination,9,55,39,spacy,0,non-informative,,,,,"But the Oil and Natural Gas Commission being a State instrumentality, is bound to act reasonably in the matter of fixation of price; such price is bound to be determined by following any one of the modalities suggested in the judgment of th"
907,judicial review,9,39,39,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Assuming that the ONGC is a State instrumentality and the price demanded by it is susceptible to judicial review, the court may, where a contract has been entered into, consider the sustainability of the price agreed upon or where no contra"
908,civil judge,9,39,39,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,The present appeal is filed against the judgment and order passed by the High Court of Madhya Pradesh at Jabalpur in Second Appeal No. 396 of 1998 by which the High Court confirmed the judgment and order passed by the Court of First Additio
909,instrumentality,9,39,39,spacy,0,non-informative,,,,,it was equally necessary to ensure that such units and instrumentalities were enabled to make reasonable profits; (iii) in the context of the integrated activity of production of crude oil and gas.
910,rent controller,6,39,39,spacy,1,informative,MONETARY-VALUATION,TENANCY-LEASE,EVIDENCE,,"Later, the allottees, including the respondent, applied to the Rent Controller for reducing the rent."
911,municipal committee,5,39,39,"spacy,yake",1,informative,FORUM-AUTHORITY,,ACTOR,,"Similarly, in Municipal Committee, Patiala v. Model Town Residents Association & , , this Court interpreted the phrase `permissible classification' to mean what is permissible in law."
912,arbitration act,4,39,39,"rake,spacy",1,informative,STATUTE-PROVISION,,RULE,,"If the arbitration agreement is not to be treated as a statutory arbitration under s. 46 of the Arbitration Act but an arbitration agreement under s. 47 of the Act, then the procedure to be followed for the arbitration under that agreement "
913,teacher,3,46,39,spacy,0,non-informative,,,,,"In the reference, the validity of the Government Office Ms. No.3 dated 10.1.2000 issued by the erstwhile State of Andhra Pradesh providing 100% reservation to the Scheduled Tribe candidates out of whom 33.1/3% shall be women for the post of"
914,central excise,3,39,39,spacy,0,non-informative,,,,,"v. Collector of Central Excise, , this Court held that when discrimination is glaring, the State cannot take recourse to inadvertence in its action resulting in discrimination."
915,allotment order,3,39,39,"spacy,textacy",1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"On receipt of the intimation under sub-section (2), the Controller shall, taking into consideration any representation made by the landlord and after making such inquiry as he considers necessary, select the State Government or the Central "
916,natural gas consuming,1,39,39,spacy,0,non-informative,,,,,"Oil And Natural Gas Commission And vs Association Of Natural Gas Consuming ... on 4 May, 1990 COURT 1851, 1991 SCW 1900, 1990 (SUPP) 397, (2001) 2 UC 270, (1990) 2 COMLJ 89, (SC) Bench: N.D. Ojha, Jagdish Saran Verma OIL AND NATURAL GAS COM"
917,insolvency,1,39,39,spacy,0,non-informative,,,,,"This appeal under Section 62 of the Insolvency and Bankruptcy Code, 20161 is directed against the judgment and order dated 14.05.2019 passed by the National Company Law Appellate Tribunal, New Delhi 2 in Company Appeal (AT) Insolvency No. 5"
918,order of the high court,23,38,38,yake,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,
919,viii,17,41,38,spacy,0,non-informative,CITATION-REF,,,,(viii)
920,amendment act,14,38,38,spacy,1,informative,STATUTE-PROVISION,,RULE,,"This Act was amended by the East Punjab Evacuees, (Administration of Property) (Amendment) Ordinance, 1948 (East Punjab ordinance No. 11 of 1948) and later by East Punjab Evacuees' (Administration of Property) (Amendment) Act, 1948,(East Pu"
921,labour,11,45,38,spacy,0,non-informative,,,,,"In theDictionary of English Law by Earl Jowitt (Vol. 1 P. 791) it is stated; ""Fees, perquisites allowed to officers in the administration of justice as a recompense for their labour and trouble, ascertained either by Acts of Parliament, by "
922,reduction,11,42,38,spacy,0,non-informative,,,,,"I am not prepared to accept the ONGC contention that because they are All India agency expected to function as a commercial undertaking in the public sector, they are entitled to take no account of the fact that the cost of power generation"
923,promotion,11,41,38,spacy,0,non-informative,,,,,"Sharaful Haque & Another observed thus:- ""It would be an abuse of process of the court to allow any action which would result in injustice and prevent promotion of justice."
924,immovable property,11,38,38,"spacy,textacy",1,informative,PROPERTY-RES,,EVIDENCE,,"Author: A.M. Ahmadi Bench: A.M. Ahmadi, M.M. Punchhi, K. Ramaswamy S.V. CHANDRA PANDIAN AND Vs. S.V. SIVALINGA NADAR AND DATE OF JUDGMENT11/01/1993 AHMADI, A.M. (J) AHMADI, A.M. (J) PUNCHHI, M.M. RAMASWAMY, K. CITATION: 1993 (1) 58 1993 (1)"
925,admission,10,40,38,spacy,0,non-informative,,,,,"Under r. 15 of the Goods Tariff General Rules the mention of the weight of the goods in the receipt did not amount to an admission in that behalf by the railway, and Rule 22 read with Rule 24(2) only made a false declaration as to goods in "
926,attorney general,10,38,38,spacy,0,non-informative,,,,,"K. Parasaran, Attorney General, B. Sen, A.K. Ganguli, Dr. Y.S. Chitley, T.S. Krishnamurthy Iyer, N. Nettar, G.S. Narayana, p. Parameshwaran, T.V.S.N. Chaff and N.N. Sharma for the Appellants."
927,spot,7,43,38,spacy,0,non-informative,,,,,"When the three accused Harjinder Singh-A2, Ajaib Singh-A4 and Tarsem Singh (Who is dead) as members of the first party, who came in tractor, were inflicting blows on the deceased and the above named alleged eye witnesses, the other three ac"
928,apprehension,6,48,38,spacy,0,non-informative,,,,,Nobody speaks about the apprehension that even tempo of the community got endangered In the absence of any material to show that there was disturbance to the public order in the public place and the people got panic due to the said incident
929,companies act,6,38,38,spacy,1,informative,STATUTE-PROVISION,,RULE,,(1) First as to the scheme of the relevant provisions under the Companies Act.
930,proprietor,5,46,38,spacy,1,informative,PARTY-ACTOR,TITLE-OWNERSHIP,ACTOR,,"Prior to the partition of India, the Shamlat-deh lands in Punjab were owned by the proprietors of the other lands in the village, ""Hasab Rasad Khewat"" in the same proportion in which they owned the other lands."
931,consignment,5,44,38,spacy,0,non-informative,,,,,"On the production of a forwarding note for booking a consignment of dry chillies to Calcutta, a railway wagon was allotted to the appellants who loaded it without any help from any railway employee."
932,muslim,5,40,38,spacy,0,non-informative,,,,,"Most of the Muslim proprietors migrated to Pakistan whereas, the non-Muslims continued to live in their villages."
933,fuel,4,172,38,spacy,0,non-informative,,,,,I believe that Gujarat has a valid point in urging that advantages that accrue to the coal-bearing provinces by way of low cost in fuel or power generation should also apply to Gujarat because of the discovery of gas in its area and its pro
934,conspiracy,4,39,38,spacy,0,non-informative,,,,,"From the material that was placed before the Magistrate, even prima facie, it cannot be said that there was conspiracy or connivance between the other appellants and the appellant No. 7."
935,hectare,3,38,38,spacy,0,non-informative,,,,,The said policy provided for the allotment of a minimum of 2 hectares of agricultural land; irrigation facilities at government cost; grant-in-aid for small and marginal farmers and SC/ST families; and to meet the entire cost of the allotte
936,machinery,23,53,37,spacy,0,non-informative,,,,,"On 5.11.1982, the Division Bench of the High Court, after pointing out the various difficulties and questions raised by the case thought it would be fit and proper to direct the ONGC not to discontinue the supply of gas but to continue to s"
937,effort,20,49,37,spacy,0,non-informative,,,,,"Accused Harjit Singh (A-1) was member of the Panchayat and as per his own defence version, he was making efforts though the Panchayat and Revenue Authorities to get the land cleared from encroachment of Harjit Singh And vs State Of Punjab o"
938,vol,16,44,37,spacy,0,non-informative,CITATION-REF,,,,"It is arguable whether supply of natural gas is included in this definition for, though 'power' connotes generally any form of energy available for doing work, it is normally related to such energy made available by mechanical or electrical"
939,burden,15,46,37,spacy,0,non-informative,,,,,"""44.......The burden of proof could be discharged only by adducing clear and cogent evidence....."" (Emphasis added) 123."
940,holding,15,46,37,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"Under the E. P. Holdings Consolidation and Prevention of Roop Chand vs State Of Punjab on 10 October, 1962 Fragmentation) Act, 1948, a scheme, for consolidation of holdings was framed for the petitioner's village and a repartition of the la"
941,imprisonment,14,66,37,spacy,0,non-informative,,,,,"His conviction and sentences passed by the trial judge under Section 326, Section 324 and 323 IPC read with Section 34 IPC or imprisonment with fines separately imposed for those offences, therefore is liable to be maintained."
942,truth,14,43,37,spacy,0,non-informative,,,,,The ultimate object of justice is to find out the truth and punish the guilty and protect the innocent.
943,trial judge,13,37,37,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"His conviction and sentences passed by the trial judge under Section 326, Section 324 and 323 IPC read with Section 34 IPC or imprisonment with fines separately imposed for those offences, therefore is liable to be maintained."
944,housing,12,40,37,spacy,0,non-informative,,,,,"It is, therefore, necessary that the State Government should, for the benefit of the consumers, first, make suitable arrangements for housing the ration shops in the shops run by others in the same localities where at present the allottee-c"
945,material fact,12,37,37,spacy,0,non-informative,ASPECT,,,,Most of the material facts giving rise to this appeal are not in dispute and may briefly be stated as follows:
946,maker,9,38,37,spacy,0,non-informative,,,,,Then why did the makers of the Constitution deliberately depart specially to include the provision for transfer unless it be that it was meant to vest this additional power in sharp contrast to the earlier limited power to appoint in anothe
947,load,8,49,37,spacy,0,non-informative,,,,,"Moreover, when the application made by the Organizers for grant of load of 1540 KVA was not sanctioned by the Power Corporation, they themselves met the additional electricity requirement from the generators alone."
948,wind,7,39,37,spacy,0,non-informative,,,,,"Nor is it whatever the interpreter chases, like historicity, sociology, conceptuality and a host of fancy-dress fashions, for that will create unwarranted variances and supersede the law-maker by a side-wind."
949,joint family,5,37,37,spacy,1,informative,PARTY-ACTOR,PARTITION,ACTOR,,"By the said judgment dated 10.11.1961, it was held that the case of Setlur was a fairy tale and that Setlur had failed to prove that the suit lands were purchased from his funds or from the funds of his joint family."
950,enterprise,4,41,37,spacy,0,non-informative,,,,,After all the ONGC is an enterprise in the public sector and is expected to take public interest into account and not be exclusively concerned with commercial considerations that would be more appropriate to a private enterprise.
951,new act,3,37,37,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Section 42 of the Specific Relief Act, 1877 now replaced by s. 34 of the new Act enables a person entitled to any legal character or to any right as to any property to institute a suit against any person denying or interested to deny his ti"
952,adjudicating,2,38,37,spacy,0,non-informative,,,,,An administrative order would be one which is directed to the regulation or supervision of matters as distinguished from an order which decides the rights of parties of confers or refuses to confer rights to property which are the subject o
953,nuclear energy,1,37,37,spacy,0,non-informative,,,,,"We are informed that, at present, the share of nuclear energy is hardly three per cent of India’s total electricity production, while France accounts for 74.6% as on 2008."
954,fix deposit,1,37,37,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"This appeal raises the issue whether a fixed deposit jointly owned with an ""either or survivor"" clause can be pledged by one of the account holders with the Bank and whether the Bank can adjust the Anumati vs Punjab National Bank on 25 Octo"
955,schedule v,1,37,37,spacy,1,informative,STATUTE-PROVISION,,RULE,,"The questions are as follows: “(1) What is the scope of paragraph 5(1), Schedule V to the Constitution of India? (a) Does the provision empower the Governor to make a new law? (b) Does the power extend to subordinate legislation?"
956,consent decree,1,37,37,spacy,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,"Even it the compromise was unlawful and the consent decree was on that account void, the very fact of the 3rd respondent having submitted to the consent decree, declaring the order of allotment to be invalid and recognising the right of the"
957,controversy,26,40,36,spacy,0,non-informative,ASPECT,,,,It will transpose the area of controversy to a totally different and wider plane.
958,correctness,21,36,36,spacy,0,non-informative,,,,,The appellant also contested the correctness of the High Court's conclusion that the price of gas must be determined on the basis of cost of production plus a reasonable return for the Oil And Natural Gas Commission And vs Association Of Na
959,mandate,20,48,36,spacy,0,non-informative,,,,,A plain reading of Section 59 (as amended in 1978) plainly indicates that it is the mandate of Parliament that the Board should adjust its tariffs so that after meeting the various expenses properly required to be met a surplus is left.
960,resolution,18,77,36,"spacy,yake",0,non-informative,,,,,The contributories also by these letters asked the Liquidators to support Madhubhai and others in the resolution which they were going to move at the Annual General Meeting of the Himabhai Company which was to be held on 6-8-1955 with a vie
961,minor,18,66,36,spacy,1,informative,PARTY-ACTOR,,ACTOR,,Such a minor is given a right to his share of the property of the firm and also a right to share in the profits of the firm as may be agreed upon business share is made liable for the acts of the firm though he would not be personally liabl
962,age,18,46,36,spacy,0,non-informative,,,,,"In the case on hand, we have already extracted criminality, criminal activities starting from the age of 30 and details relating to eleven cases mentioned in the grounds of detention."
963,problem,17,51,36,spacy,0,non-informative,,,,,But we do not think that that view solves the problem.
964,world,16,45,36,spacy,0,non-informative,,,,,"According to the High Court, the tenancy of Shyamala Raju stood terminated in 1946, that Setlur has been in possession since 1946, that Suit No. 89/63 was filed by Setlur against Shyamala Raju in February, 1963 and, therefore, when Setlur h"
965,threat,12,44,36,spacy,0,non-informative,,,,,"It is the subjective satisfaction of the Detaining Authority that in spite of his continuous activities causing threat to maintenance of public order, he was getting bail one after another and indulging in the same activities."
966,officers,10,46,36,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"JUDGMENT: JUDGMENTS.B. SINHA, J : INTRODUCTION: How far and to what extent a writ of or in the nature of mandamus should issue directing the Union of India to pay salary to the Officers of the High Court in a particular scale of pay is the "
967,master,9,42,36,spacy,0,non-informative,,,,,"That is why Krishna Iyer, J., speaking on behalf of himself and me, pointed out in Shamsher Singh v. State of Punjab , ""the exclusion of executive interference with the Subordinate Judiciary, i.e., grass-roots justice, can prove a teasing i"
968,annum,8,37,36,spacy,0,non-informative,TEMPORAL,,,,"They admitted that they were in need of money and hence approached the plaintiff for a loan and the plaintiff did advance to them a sum of Rs. 30,000 carrying interest at 6% per annum."
969,accuse person,8,36,36,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"All the six accused persons have been alleged to be members of an unlawful assembly and with common object alleged to have committed murder of Harjinder Singh (hereinafter referred to as the ""deceased"") on 15.10.1994 in Village Chhichrewal "
970,panchayat,7,80,36,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,To explain the nature of dispute over the piece of land he states that he is member of the Panchayat and with co-accused had approached the Gram Panchayat with a request that the path by which they approached their houses from the village b
971,national commission,6,36,36,"rake,spacy",1,informative,FORUM-AUTHORITY,,ACTOR,,The National Commission merely reproduced the view of the State Commission with which it concurred.
972,oath,4,43,36,spacy,0,non-informative,,,,,"Apart from the expert evidence, plaintiff has also produced P.W.3 - Shankar Lal, a land broker, who asserted on oath that the defendant had put her signature in the agreement of sale."
973,railway station,4,36,36,"rake,spacy,textacy",0,non-informative,,,,,"HIDAYATULLAH, M. RAMASWAMI, V. SATYANARAYANARAJU, P. CITATION: 1966 (2) 959 ACT: Saharanpur Municipality Rules for Tolls, 1949, r. 8(a)- Lorries unloading goods in railway station within municipal limits--Goods intended for export by rail-A"
974,service rules,3,36,36,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Once a person, has entered service he is bound by the conditions imposed either by the Service Rules or the Constitutional provisions."
975,executor,3,36,36,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Clauses 1 to 4 are relevant for our purpose:- ""This indenture made at Hyderabad the 14th day of June, 1954 between his Exalted Highness Nawab Sir Osman Ali Khan Bahadur G.C.S.I., C. B. E., The Nizam of Hyderabad and Berar (hereinafter calle"
976,industrial court,2,36,36,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,On appeal the Industrial Court held that the company was under no legal obligation to maintain the garden and therefore the respondents did not fall within the definition of employee.
977,schedule caste,2,36,36,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Scheduled Castes, Scheduled Tribes and Physically Handicapped and Ex-Servicemen quota. (3)"
978,court fee,2,36,36,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"S.M. Sikri, A.N. Ray, D.G. Palekar, M. Hameedullah Beg, S.N. Dwivedi SECRETARY, GOVERNMENT OF MADRAS, HOMEDEPARTMENT AND ANOTHER Vs. ZENITH LAMP & ELECTRICAL LTD. DATE OF JUDGMENT10/11/1972 SIKRI, S.M. (CJ) SIKRI, S.M. (CJ) RAY, A.N. PALEKA"
979,multinational entity,1,36,36,spacy,0,non-informative,,,,,The representatives of certain Indian CA firms carry two visiting cards one of Indian CA firm and another of a multinational entity.
980,pepsi foods,1,36,36,spacy,0,non-informative,,,,,"### Appeal (civil)#Appeal (civil) 4051 of 1996#1996#M/s Pepsi Foods Limited #Collector of Central Excise, Chandigarh #2003-11-25#25622#4051#P. VENKATARAMA REDDI#Dr."
981,desalination,1,36,36,spacy,0,non-informative,,,,,"Nuclear energy, it is stated, is a readily expandable source of low-carbon baseload electricity and in the future might also help to meet other energy needs such as hydrogen production and water desalination."
982,advantage,22,62,35,"rake,spacy",0,non-informative,,,,,"Here, the Court is dealing with a price to be fixed under a contract between the Oil and Natural Gas Commission and one set of industries in the State who wish to make a change over from the furnance oil system to that of gas supply with a "
983,representative,20,52,35,spacy,1,informative,PARTY-ACTOR,,ACTOR,,It is averred in the writ petitions and not disputed by the appellants that the representatives of the respondents companies were informed about the instructions contained in the above circular dated 18th May 1996 by the concerned officials
984,allahabad high court,18,35,35,"rake,spacy,yake",1,informative,FORUM-AUTHORITY,,ACTOR,,"Appeal by special leave from the judgment and decree dated January 1, 1960, of the Allahabad High Court in Second Appeal No. 445 of 1952."
985,removal,17,44,35,spacy,0,non-informative,,,,,"The appellant, therefore, was constrained to file Civil Suit No. 40-A of 1982 in the Court of Civil Judge, Class II, Hoshangabad against Hiralal (vendor), Ganpat and Bhagwandas (respondent herein) for possession and removal of unauthorized "
986,subsection,17,37,35,spacy,1,informative,STATUTE-PROVISION,,RULE,,"The provisions of this Act, except subsection (1) of section 6 and sections 7, 12, 36 and 37, shall apply to every arbitration under any other enactment for the time being in force, as if the arbitration were pursuant to an 530116(a) arbitr"
987,special leave petition,16,35,35,"spacy,textacy",1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,Arising out of Special Leave Petition (Crl.)
988,leave petition,16,35,35,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,LEAVE PETITION (CIVIL)
989,risk,13,55,35,spacy,0,non-informative,,,,,"The whole idea at that time was to sell these shares in the open market at the risk and cost of Chunilal and to sue him in the court of law, if necessary, for recovering the loss, if any."
990,eye,13,37,35,spacy,0,non-informative,,,,,"It is obvious that the residue would in the eye of law be movable property i.e. cash, and hence distribution of the residue among the partners in proportion to their shares in the profits would not attract section 17 of the Registration Act"
991,cent,11,39,35,spacy,0,non-informative,,,,,In this writ petition it was prayed that the ONGC should be directed (a) to continue to supply the gas to them despite the contracts in their favour having lapsed; (b) to supply the break-up and the data on the basis of which the price stru
992,assault,9,35,35,spacy,0,non-informative,,,,,"The learned counsel appearing for the accused argues that in incident in which two parties clashed and were allegations of cross-firing and assaults on each other, it was the duty of the prosecution to have also explained the injuries susta"
993,date september,9,35,35,spacy,0,non-informative,TEMPORAL,,,,"The trial Court also framed an Issue as to whether the Agreement to Sell dated 10th September, 1980 could be specifically performed."
994,rent control,7,35,35,"spacy,yake",1,informative,MONETARY-VALUATION,TENANCY-LEASE,EVIDENCE,,"I am, therefore, of the opinion that""the non-disclosure of the fact of consent decree by the 3rd respondent in the application made by him vitiated the order of the Rent Control and Eviction Officer under s. 7A"
995,debit,6,39,35,spacy,0,non-informative,,,,,"The income-tax officer, in the course of the assessment of the assessee to income tax for the assessment year 1962-63 took the view that the debit of Rs."
996,special provision,4,35,35,"spacy,textacy",1,informative,STATUTE-PROVISION,,RULE,,"It is impossible to accept this contention for the simple reason that 8. 12(1) of the Act would unquestionably be a general provision whereas the proviso to s. 50 read with the new paragraph added thereto, which has now been held to be an i"
997,price fixation,2,35,35,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"Vs. ASSOCIATION OF NATURAL GAS CONSUMING INDUST-RIES OF GUJARAT DATE OF JUDGMENT04/05/1990 RANGNATHAN, S. RANGNATHAN, S. OJHA, N.D. (J) VERMA, JAGDISH SARAN (J) CITATION: 1990 (3) 157 1990 Supl. 397 ) 516 1990 (1)900 ACT: Constitution of In"
998,promissory estoppel,2,35,35,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,The only question raised by the appellant is that the principle of promissory estoppel would not arise when the relevant statute prescribes a particular mode for the grant of relief in respect of which the representation has been made.
999,public premise,2,35,35,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,Section 7 as it stood at the relevant time reads : Power to recover rent or damages in respect of public premises as arrears of land revenue.
1000,bequest,1,59,35,spacy,0,non-informative,,,,,A suit was brought by the heirs of the testator in the Court of the Civil Judge for a declaration that the bequest in favour of Mrs. Shirinbai was void in law by operation of s. 67 of the Indian Succession Act and that the estate of the tes
1001,emption,1,38,35,spacy,0,non-informative,,,,,Respondent No. 1 also filed a suit for possession by pre-emption on the ground that he had become a co-sliarer with the other 3 daughters by virtue of the sale affected in his favour by D of her share.
1002,quasi permanent status,1,35,35,spacy,0,non-informative,ASPECT,,,,"The appellant made fresh representations to the effect that the order purporting to terminate his service on the ground that the Union Public Service Commission had not selected him for the post of Assistant Station Director, was an illegal"
1003,adjudicating authority,1,35,35,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Ltd.6, while stating its capacity as the financial creditor, for being the assignee of the loans and advances disbursed by creditor bank to the corporate debtor, filed the said application under Section 7 of the Code before the Adjudicating"
1004,2003#2003#bikau pandey,1,35,35,spacy,0,non-informative,,,,,104-106 of 2003#2003#Bikau Pandey
1005,himabhai company,1,35,35,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Ahmedabad, hereinafter referred to as the Himabhai Company, submitted their tender on 15-9-1953 offering to purchase the same."
1006,25#25622#4051#p.,1,35,35,spacy,0,non-informative,,,,,"Appeal (civil)#Appeal (civil) 4051 of 1996#1996#M/s Pepsi Foods Limited #Collector of Central Excise, Chandigarh #2003-11-25#25622#4051#P. VENKATARAMA REDDI#Dr."
1007,export barrier,1,35,35,"rake,spacy,textacy",0,non-informative,,,,,"Before reaching the station the lorries had-to pass-out of the municipal barrier near the station, which was meant to serve as an import barrier for goods coming into the municipality from the railway station and as an export barrier for go"
1008,high court hold,22,34,34,yake,1,informative,FORUM-AUTHORITY,,ACTOR,,
1009,pendency,20,34,34,spacy,0,non-informative,,,,,"It has been stated before us that some of the respondents have failed to pay even at the rate of Rs. 1,000 as directed by this Court and that this Court had to direct, by its orders dated 15.4.87 and 30.10.87, that the respondents ""will not"
1010,foundation,19,42,34,spacy,0,non-informative,,,,,It was further stated that the complaint against the appellants was totally without any basis or foundation.
1011,version,12,41,34,spacy,0,non-informative,,,,,This version of the incident given by him is that on 15.10.1994 at about 8.30 in the morning he was proceeding with his son Harjinder Singh (deceased) towards their field.
1012,signature,12,38,34,spacy,0,non-informative,,,,,He is unable to explain the reason for not procuring the attendance and signature of independent witnesses on the disclosure statement
1013,exclusion,12,37,34,spacy,0,non-informative,,,,,"We are unable to agree with the observation of the High Court that, even if the ONGC is treated as a public utility, the respondents, merely because they had entered into temporary contracts for supply of gas with the ONGC, could still insi"
1014,lawyer,10,54,34,"rake,spacy",0,non-informative,,,,,We also make it clear that the award which is pending for registration may be registered by the Sub-Registrar notwithstanding the objection raised by one of the partners S.V. Sivalings Nadar through his lawyer if that is the only reason for
1015,employer,8,35,34,spacy,1,informative,PARTY-ACTOR,,ACTOR,,Since the appellant company contended before the High Court for the first time that the garden area in question did not pertain only to the appellant but to several other employers the High Court remanded the matter to the Industrial Court 
1016,surplus,6,39,34,spacy,0,non-informative,,,,,"It is sufficient, for our present purposes, to say that the monograph points out, a propos such pricing policy, that several state undertakings are already earning profits and the general policy has been accepted that the maximum economic r"
1017,woman,6,36,34,spacy,0,non-informative,,,,,"The courts are receiving a large number of cases emanating from section 498-A of the Indian Penal Code which reads as under:- ""498-A. Husband or relative of husband of a woman subjecting her to cruelty.--Whoever, being the husband or the re"
1018,doctor,6,36,34,spacy,0,non-informative,,,,,Doctor also found a cartridge measuring 2 cms in length and 0.25 diameter embedded in the muscles at a distance of 7 cms from injury No. 3 which was caused in right forearm midway between elbow joint and writ joint.
1019,garden,3,43,34,"spacy,yake",1,informative,PROPERTY-RES,,EVIDENCE,,"Vs. RAM TAHEL RAMNAND & DATE OF JUDGMENT14/04/1972 DUA, I.D. DUA, I.D. VAIDYIALINGAM, C.A. CITATION: 1973 (1) 185 1972 (1) 898 F 1973 SC2297 (9) RF 1976 SC1207 (72) RF 1986 SC1272 (97,99,100,102) ACT: Bombay Industrial Relations Act 11 of 1"
1020,repeal act,3,34,34,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Under s. 8(2) of the Central Act of 1950 the evacuee property which was vested in the Custodian appointed by the State Government under the repealed Act, was to be deemed to be evacuee property declared as such under the Central Act and bec"
1021,presiding officer,3,34,34,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Based upon the same, he gave a detailed report dated 21.02.2007 criticizing the conduct of the Presiding Officer of the Trial Court."
1022,abolition act,3,34,34,"spacy,yake",1,informative,STATUTE-PROVISION,,RULE,,"On appeal by special leave, the appellant's main contention was that the cultivating rights in the sir lands could not be the subject matter of sale in execution of the decree in view of s. 43 of the Abolition Act."
1023,burmah shell oil storage,2,34,34,"rake,spacy",0,non-informative,,,,,"Burmah Shell Oil Storage &Distributing ... vs The Belgaum Borough Municipality on 16 November, 1962 SUPREME COURT 906 Author: M. Hidayatullah Bench: M. Hidayatullah, S.K. Das, J.L. Kapur, A.K. Sarkar, Raghubar Dayal BURMAH SHELL OIL STORAGE"
1024,milk,1,42,34,spacy,0,non-informative,,,,,"For the purpose of their business, they purchase milk from villages, each respondent from a particular ""milk shed area"" which covers several hundred villages in and around such respondent's factory."
1025,prabhunath singh,1,34,34,spacy,0,non-informative,,,,,"The prosecution version, as recorded in the FIR in the statement of Rajendra Rai, narrated that the informant along with eight-nine other persons of his village was returning after casting their vote in the election on 25.03.1995 at around "
1026,rajendra rai,1,34,34,spacy,0,non-informative,,,,,"The prosecution version, as recorded in the FIR in the statement of Rajendra Rai, narrated that the informant along with eight-nine other persons of his village was returning after casting their vote in the election on 25.03.1995 at around "
1027,assistance,20,53,33,spacy,0,non-informative,,,,,"Lord Moulton after tracing the growth of the law of arbitration made the following observations in his speech: ""But, My Lords, it must be remembered that these arbitration clauses must be taken to have been inserted with due regard to the e"
1028,aid,17,46,33,spacy,0,non-informative,,,,,"In these circumstances, with the aid of Section 34 of IPC, accused (A-2) could not have been convicted under Section 302 of IPC for the fatal shot by fire arm of the accused (A-1) who was a member of the second party and had reached the pla"
1029,distance,17,45,33,spacy,0,non-informative,,,,,The eyewitness further states that he saw accused No. 1 Harjit Singh firing from his revolver at deceased from a distance of 4-5 Karmas.
